htno,sem,subcode,subname,internal,external,marks,dept
15NG1A0122,1-2 SEM,R13209,ENGG. DRAWING,23,3,26,CE
15NG1A0122,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,22,43,65,CE
15NG1A0122,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,18,40,58,CE
15NG1A0122,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,20,40,60,CE
15NG1A0123,1-2 SEM,R13201,ENGLISH-II,18,20,38,CE
15NG1A0123,1-2 SEM,R13202,MATHEMATICS-III,15,-1,14,CE
15NG1A0123,1-2 SEM,R13203,ENGG. PHYSICS,11,0,11,CE
15NG1A0123,1-2 SEM,R13207,MATHEMATICS-II (MM),16,15,31,CE
15NG1A0123,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,12,14,26,CE
15NG1A0123,1-2 SEM,R13209,ENGG. DRAWING,22,6,28,CE
15NG1A0123,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,44,67,CE
15NG1A0123,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,19,40,59,CE
15NG1A0123,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0124,1-2 SEM,R13201,ENGLISH-II,26,25,51,CE
15NG1A0124,1-2 SEM,R13202,MATHEMATICS-III,22,41,63,CE
15NG1A0124,1-2 SEM,R13203,ENGG. PHYSICS,19,35,54,CE
15NG1A0124,1-2 SEM,R13207,MATHEMATICS-II (MM),20,39,59,CE
15NG1A0124,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,33,57,CE
15NG1A0124,1-2 SEM,R13209,ENGG. DRAWING,25,42,67,CE
15NG1A0124,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,25,46,71,CE
15NG1A0124,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,20,40,60,CE
15NG1A0124,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0126,1-2 SEM,R13201,ENGLISH-II,26,34,60,CE
15NG1A0126,1-2 SEM,R13202,MATHEMATICS-III,21,51,72,CE
15NG1A0126,1-2 SEM,R13203,ENGG. PHYSICS,18,24,42,CE
15NG1A0126,1-2 SEM,R13207,MATHEMATICS-II (MM),23,48,71,CE
15NG1A0126,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,22,31,53,CE
15NG1A0126,1-2 SEM,R13209,ENGG. DRAWING,27,33,60,CE
15NG1A0126,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,23,45,68,CE
15NG1A0126,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,23,47,70,CE
15NG1A0126,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,21,42,63,CE
15NG1A0127,1-2 SEM,R13201,ENGLISH-II,18,40,58,CE
15NG1A0127,1-2 SEM,R13202,MATHEMATICS-III,18,26,44,CE
15NG1A0127,1-2 SEM,R13203,ENGG. PHYSICS,22,6,28,CE
15NG1A0127,1-2 SEM,R13207,MATHEMATICS-II (MM),22,29,51,CE
15NG1A0127,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,14,35,CE
15NG1A0127,1-2 SEM,R13209,ENGG. DRAWING,25,31,56,CE
15NG1A0127,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,48,72,CE
15NG1A0127,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,23,46,69,CE
15NG1A0127,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,24,48,72,CE
15NG1A0128,1-2 SEM,R13201,ENGLISH-II,17,42,59,CE
15NG1A0128,1-2 SEM,R13202,MATHEMATICS-III,27,32,59,CE
15NG1A0128,1-2 SEM,R13203,ENGG. PHYSICS,25,28,53,CE
15NG1A0128,1-2 SEM,R13207,MATHEMATICS-II (MM),25,42,67,CE
15NG1A0128,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,27,48,CE
15NG1A0128,1-2 SEM,R13209,ENGG. DRAWING,24,38,62,CE
15NG1A0128,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,47,71,CE
15NG1A0128,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,24,49,73,CE
15NG1A0128,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,23,46,69,CE
15NG1A0129,1-2 SEM,R13201,ENGLISH-II,22,24,46,CE
15NG1A0129,1-2 SEM,R13202,MATHEMATICS-III,22,35,57,CE
15NG1A0129,1-2 SEM,R13203,ENGG. PHYSICS,20,10,30,CE
15NG1A0129,1-2 SEM,R13207,MATHEMATICS-II (MM),21,46,67,CE
15NG1A0129,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,24,24,48,CE
15NG1A0129,1-2 SEM,R13209,ENGG. DRAWING,26,47,73,CE
15NG1A0129,1-2 SEM,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,24,46,70,CE
15NG1A0129,1-2 SEM,R13214,ENGINEERING PHYSICS LAB,20,42,62,CE
15NG1A0129,1-2 SEM,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,23,46,69,CE
15NG1A0130,1-2 SEM,R13201,ENGLISH-II,24,38,62,CE
15NG1A0130,1-2 SEM,R13202,MATHEMATICS-III,26,16,42,CE
15NG1A0130,1-2 SEM,R13203,ENGG. PHYSICS,21,24,45,CE
15NG1A0130,1-2 SEM,R13207,MATHEMATICS-II (MM),18,32,50,CE
15NG1A0130,1-2 SEM,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,21,44,65,CE
15NG1A0130,1-2 SEM,R13209,ENGG. DRAWING,27,9,36,CE
